caldt,vwretd
26/01/1965,0.001258
27/01/1965,0.003133
28/01/1965,0.002701
29/01/1965,0.001257
01/02/1965,0.000341
02/02/1965,0.000717
03/02/1965,0.001519
04/02/1965,-0.000011
05/02/1965,-0.002274
08/02/1965,-0.003221
09/02/1965,0.003290
10/02/1965,-0.008236
11/02/1965,-0.009749
12/02/1965,0.006719
15/02/1965,-0.000372
16/02/1965,-0.003331
17/02/1965,0.001688
18/02/1965,0.003082
19/02/1965,0.002050
23/02/1965,0.004915
24/02/1965,0.006474
25/02/1965,0.000953
26/02/1965,0.002564
01/03/1965,-0.001367
02/03/1965,0.001904
03/03/1965,-0.000313
04/03/1965,-0.002818
05/03/1965,-0.001796
08/03/1965,0.000601
09/03/1965,-0.001362
10/03/1965,-0.000823
11/03/1965,0.003869
12/03/1965,0.003118
15/03/1965,0.000743
16/03/1965,-0.000861
17/03/1965,-0.001221
18/03/1965,-0.002421
19/03/1965,-0.000018
22/03/1965,-0.000056
23/03/1965,0.000593
24/03/1965,0.001948
25/03/1965,-0.002648
26/03/1965,-0.006729
29/03/1965,-0.002314
30/03/1965,0.002011
31/03/1965,0.000180
01/04/1965,0.001685
02/04/1965,0.002612
05/04/1965,0.000208
06/04/1965,-0.000381
07/04/1965,0.000765
08/04/1965,0.005325
09/04/1965,0.005663
12/04/1965,0.004530
13/04/1965,0.001455
14/04/1965,0.001914
15/04/1965,-0.000427
19/04/1965,0.003810
20/04/1965,-0.000228
21/04/1965,-0.002048
22/04/1965,0.004524
23/04/1965,0.001451
26/04/1965,0.000105
27/04/1965,0.001699
28/04/1965,-0.000342
29/04/1965,-0.000523
30/04/1965,0.001388
03/05/1965,0.000822
04/05/1965,0.002794
05/05/1965,0.002607
06/05/1965,0.002539
07/05/1965,-0.000450
10/05/1965,-0.000891
11/05/1965,-0.000690
12/05/1965,0.003803
13/05/1965,0.003381
14/05/1965,-0.001391
17/05/1965,-0.005227
18/05/1965,-0.000497
19/05/1965,0.002182
20/05/1965,-0.005082
21/05/1965,-0.004406
24/05/1965,-0.007340
25/05/1965,0.005545
26/05/1965,-0.002516
27/05/1965,-0.005613
28/05/1965,0.006090
01/06/1965,-0.006714
02/06/1965,-0.007744
03/06/1965,-0.002210
04/06/1965,0.002164
07/06/1965,-0.003478
08/06/1965,-0.010585
09/06/1965,-0.010066
10/06/1965,-0.004151
11/06/1965,0.004384
14/06/1965,-0.013353
15/06/1965,0.004791
16/06/1965,0.009025
17/06/1965,0.005963
18/06/1965,-0.004161
21/06/1965,-0.003711
22/06/1965,0.001923
23/06/1965,-0.006155
24/06/1965,-0.013337
25/06/1965,-0.006293
28/06/1965,-0.018758
29/06/1965,0.007898
30/06/1965,0.022139
01/07/1965,0.004641
02/07/1965,0.008178
06/07/1965,-0.001655
07/07/1965,-0.003344
08/07/1965,0.007981
09/07/1965,0.004061
12/07/1965,0.000031
13/07/1965,-0.001361
14/07/1965,0.003069
15/07/1965,-0.000791
16/07/1965,-0.000276
19/07/1965,-0.000879
20/07/1965,-0.012085
21/07/1965,-0.005424
22/07/1965,-0.002138
23/07/1965,0.002414
26/07/1965,-0.000088
27/07/1965,-0.001739
28/07/1965,0.002053
29/07/1965,0.007338
30/07/1965,0.006919
02/08/1965,0.002145
03/08/1965,0.001362
04/08/1965,0.004331
05/08/1965,0.000357
06/08/1965,0.003579
09/08/1965,-0.001146
10/08/1965,0.000548
11/08/1965,0.003386
12/08/1965,0.003078
13/08/1965,0.004588
16/08/1965,0.001298
17/08/1965,0.001801
18/08/1965,0.000352
19/08/1965,-0.002185
20/08/1965,-0.000719
23/08/1965,-0.001173
24/08/1965,0.001875
25/08/1965,0.001559
26/08/1965,0.003812
27/08/1965,0.001414
30/08/1965,0.000643
31/08/1965,-0.000374
01/09/1965,0.000584
02/09/1965,0.005716
03/09/1965,0.004734
07/09/1965,0.003417
08/09/1965,0.002899
09/09/1965,0.002620
10/09/1965,0.002427
13/09/1965,0.002522
14/09/1965,-0.004110
15/09/1965,0.004806
16/09/1965,0.005333
17/09/1965,0.000255
20/09/1965,0.000624
21/09/1965,-0.002597
22/09/1965,0.004797
23/09/1965,-0.003661
24/09/1965,0.002538
27/09/1965,0.005917
28/09/1965,-0.002257
29/09/1965,-0.004528
30/09/1965,-0.000465
01/10/1965,-0.000541
04/10/1965,0.002466
05/10/1965,0.005588
06/10/1965,-0.000646
07/10/1965,-0.000277
08/10/1965,0.004949
11/10/1965,0.005791
12/10/1965,-0.000269
13/10/1965,0.000235
14/10/1965,-0.001282
15/10/1965,0.002449
18/10/1965,0.002950
19/10/1965,0.001321
20/10/1965,0.000073
21/10/1965,0.001602
22/10/1965,-0.000405
25/10/1965,-0.003843
26/10/1965,0.005095
27/10/1965,0.003704
28/10/1965,-0.002808
29/10/1965,0.002760
01/11/1965,-0.000871
03/11/1965,0.001458
04/11/1965,0.002163
05/11/1965,0.001351
08/11/1965,-0.003312
09/11/1965,-0.002401
10/11/1965,-0.000751
11/11/1965,0.002823
12/11/1965,0.004873
15/11/1965,0.001355
16/11/1965,-0.001018
17/11/1965,0.001507
18/11/1965,-0.003264
19/11/1965,0.000373
22/11/1965,-0.005110
23/11/1965,0.001637
24/11/1965,0.002130
26/11/1965,0.002730
29/11/1965,-0.001234
30/11/1965,-0.001267
01/12/1965,-0.000005
02/12/1965,-0.002134
03/12/1965,0.000787
06/12/1965,-0.007577
07/12/1965,0.009558
08/12/1965,-0.000695
09/12/1965,0.003037
10/12/1965,0.002857
13/12/1965,0.001276
14/12/1965,0.000850
15/12/1965,0.001874
16/12/1965,0.001675
17/12/1965,0.000581
20/12/1965,-0.005268
21/12/1965,0.003577
22/12/1965,0.001596
23/12/1965,-0.001454
27/12/1965,-0.006304
28/12/1965,-0.000316
29/12/1965,0.003020
30/12/1965,0.003753
31/12/1965,0.002863
03/01/1966,-0.001823
04/01/1966,0.001291
05/01/1966,0.005880
06/01/1966,0.001962
07/01/1966,0.001328
10/01/1966,0.002453
11/01/1966,0.000923
12/01/1966,-0.001330
13/01/1966,0.002334
14/01/1966,0.001679
17/01/1966,0.003373
18/01/1966,0.002002
19/01/1966,-0.002712
20/01/1966,-0.002487
21/01/1966,0.001074
24/01/1966,0.002876
25/01/1966,0.001752
26/01/1966,-0.000740
27/01/1966,-0.000316
28/01/1966,-0.003109
31/01/1966,-0.004274
01/02/1966,-0.007775
02/02/1966,0.004113
03/02/1966,0.001619
04/02/1966,0.006022
07/02/1966,0.003783
08/02/1966,-0.000170
09/02/1966,0.005824
10/02/1966,-0.001556
11/02/1966,0.000300
14/02/1966,-0.000655
15/02/1966,-0.003978
16/02/1966,0.000388
17/02/1966,-0.004959
18/02/1966,-0.001992
21/02/1966,-0.005248
23/02/1966,-0.004156
24/02/1966,-0.005146
25/02/1966,0.003357
28/02/1966,0.001744
01/03/1966,-0.012650
02/03/1966,-0.010072
03/03/1966,0.004083
04/03/1966,-0.002681
07/03/1966,-0.012619
08/03/1966,0.000446
09/03/1966,0.008909
10/03/1966,-0.000050
11/03/1966,-0.000588
14/03/1966,-0.010933
15/03/1966,-0.007298
16/03/1966,0.005599
17/03/1966,0.003159
18/03/1966,0.004960
21/03/1966,0.008414
22/03/1966,0.003035
23/03/1966,-0.003107
24/03/1966,0.001962
25/03/1966,0.003500
28/03/1966,0.002188
29/03/1966,-0.004044
30/03/1966,-0.008441
31/03/1966,0.005604
01/04/1966,0.007760
